"Date","Cases","Distinct.activities","Number.of.distinct.activities","Number.of.simple.cycles.in.period","Average.number.of.simple.cycles.per.trace","Median.number.of.simple.cycles.per.trace","Number.of.activity.repetitions.in.period","Average.number.of.activity.repetitions.per.trace","Median.number.of.activity.repetitions.per.trace","Number.of.participants.in.period","Average.number.of.participants.per.trace","Median.number.of.participants.per.trace","Handover.of.work.in.period","Average.handover.of.work.per.trace","Median.handover.of.work.per.trace","Average.handover.of.work.from.participant","Median.handover.of.work.from.participant","s.var.e","s.nvar.e","s.seq.e","s.nseq.e","s.seq.e.lin","s.nseq.e.lin","s.seq.e.exp","s.nseq.e.exp","e.var.e","e.nvar.e","e.seq.e","e.nseq.e","e.seq.e.lin","e.nseq.e.lin","e.seq.e.exp","e.nseq.e.exp","Median.throughput.time","Average.throughput.time","PM4Py.median.throughput.time","Median.cycle.time","Average.cycle.time","Ratio.to.shortest","Ratio.to.median","Magnitude","Support","Variety","Level.of.detail","Time.granularity","Structure","Affinity","Minimum.trace.length","Average.trace.length","Maximum.trace.length","Distinct.traces","Deviation.from.random","Lempel.Ziv","Pentland.task.complexity","File","Median.throughput.time.days","Industry","File.short","Median.throughput.time.std"
2017-01-01,122,"['Declaration APPROVED by PRE_APPROVER', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Declaration REJECTED by EMPLOYEE', 'Declaration REJECTED by MISSING', 'Declaration REJECTED by PRE_APPROVER', 'Declaration REJECTED by SUPERVISOR', 'Declaration SAVED by EMPLOYEE', 'Declaration SUBMITTED by EMPLOYEE', 'Payment Handled', 'Request Payment']",10,0,0,0,31,0.254098360655738,0,2,1.94262295081967,2,115,0.942622950819672,1,57.5,57.5,116.082159566857,0.564973811142435,638.507755306687,0.183211870653529,72.0712505121078,0.0206799502698602,268.676476472961,0.0770933781870301,2621.3356058511,0.752159697305486,2621.3356058511,0.752159697305486,231.397260188751,0.06639657005093,1063.53712202102,0.305168768923332,572551.5,920349.024590164,596168,0,0,NA,0.90402345039055,552,122,10,4.27049180327869,11497.3949579832,0.88,0.676964127113158,1,4.52459016393443,12,0.0983606557377049,0.55206742568737,144,74,"2020_DomesticDeclarations_metrics.csv",6.62675347222222,"education","2020_Domestic",-0.87846288262435
2017-02-01,217,"['Declaration APPROVED by ADMINISTRATION', 'Declaration APPROVED by BUDGET OWNER', 'Declaration APPROVED by PRE_APPROVER', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Declaration REJECTED by EMPLOYEE', 'Declaration REJECTED by MISSING', 'Declaration REJECTED by PRE_APPROVER', 'Declaration REJECTED by SUPERVISOR', 'Declaration SUBMITTED by EMPLOYEE', 'Payment Handled', 'Request Payment']",11,0,0,0,34,0.156682027649769,0,2,1.9815668202765,2,213,0.981566820276498,1,106.5,106.5,137.879280026295,0.561259064916383,1429.95527041263,0.211357422810194,169.907846920266,0.0251135720000066,603.811074795621,0.089247513732531,5250.75116641579,0.776097866355655,5250.75116641579,0.776097866355655,525.091942980385,0.0776122736865096,2148.05931760656,0.317498239844761,638583,1192378.16589862,638583,0,0,NA,1.00828310993989,982,217,11,4.36866359447005,8340.46543778802,0.859504132231405,0.718820719470361,3,4.52534562211982,12,0.0599078341013824,0.544230356187599,209,89,"2020_DomesticDeclarations_metrics.csv",7.39100694444444,"education","2020_Domestic",-0.874195024560578
2017-03-01,253,"['Declaration APPROVED by ADMINISTRATION', 'Declaration APPROVED by BUDGET OWNER', 'Declaration APPROVED by PRE_APPROVER', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Declaration REJECTED by EMPLOYEE', 'Declaration REJECTED by MISSING', 'Declaration REJECTED by PRE_APPROVER', 'Declaration REJECTED by SUPERVISOR', 'Declaration SAVED by EMPLOYEE', 'Declaration SUBMITTED by EMPLOYEE', 'Payment Handled', 'Request Payment']",12,0,0,0,37,0.146245059288538,0,2,1.98814229249012,2,250,0.988142292490118,1,125,125,122.829803054653,0.57022689385101,1564.20527596747,0.187772679913935,294.245485816376,0.0353222587042775,702.010474787782,0.0842717961662834,6477.99330073694,0.777641004817318,6477.99330073694,0.777641004817318,1125.4927116038,0.135108087108794,2846.94604724943,0.341757374863584,606969,1094816.95652174,606969,0,0,NA,0.958366556825197,1178,253,12,4.5098814229249,8043.76,0.895833333333333,0.650856258801394,1,4.65612648221344,11,0.0434782608695652,0.56191110338106,253,80,"2020_DomesticDeclarations_metrics.csv",7.02510416666667,"education","2020_Domestic",-0.876238353348022
2017-04-01,222,"['Declaration APPROVED by ADMINISTRATION', 'Declaration APPROVED by BUDGET OWNER', 'Declaration APPROVED by PRE_APPROVER', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Declaration FOR_APPROVAL by SUPERVISOR', 'Declaration REJECTED by EMPLOYEE', 'Declaration REJECTED by MISSING', 'Declaration REJECTED by PRE_APPROVER', 'Declaration REJECTED by SUPERVISOR', 'Declaration SAVED by EMPLOYEE', 'Declaration SUBMITTED by EMPLOYEE', 'Payment Handled', 'Request Payment']",13,0,0,0,41,0.184684684684685,0,2,1.96846846846847,2,215,0.968468468468468,1,107.5,107.5,185.107912922826,0.591014754792915,1331.47004585742,0.188219262171192,309.574742430638,0.043762103239513,624.462455997102,0.088275258678986,5472.37759492621,0.773586215058925,5472.37759492621,0.773586215058925,1166.64156708689,0.164918779553868,2500.67465085796,0.353500357878192,694697,1137292.24324324,697194,0,0,NA,1.09688364962098,1021,222,13,4.41441441441441,10600.8264840183,0.893491124260355,0.653526133616632,1,4.5990990990991,13,0.072072072072072,0.560165491229025,227,109,"2020_DomesticDeclarations_metrics.csv",8.04047453703704,"education","2020_Domestic",-0.870568170901483
2017-05-01,275,"['Declaration APPROVED by ADMINISTRATION', 'Declaration APPROVED by BUDGET OWNER', 'Declaration APPROVED by PRE_APPROVER', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Declaration REJECTED by EMPLOYEE', 'Declaration REJECTED by MISSING', 'Declaration REJECTED by PRE_APPROVER', 'Declaration REJECTED by SUPERVISOR', 'Declaration SAVED by EMPLOYEE', 'Declaration SUBMITTED by EMPLOYEE', 'Payment Handled', 'Request Payment']",12,0,0,0,55,0.2,0,2,1.95636363636364,2,263,0.956363636363636,1,131.5,131.5,167.860226314408,0.585028612908939,1970.99582545586,0.216185655065701,597.670246556207,0.0655545446095247,989.109158589762,0.108488921498227,7103.39198261751,0.779124658265295,7103.39198261751,0.779124658265295,2075.82307525066,0.227683471231997,3514.86847367714,0.385522959327391,786880,1354259.42545455,786880,0,0,NA,1.24243491221893,1275,275,12,4.43636363636364,8213.08550185874,0.881944444444444,0.614513635225646,1,4.63636363636364,13,0.069090909090909,0.572435320032681,281,106,"2020_DomesticDeclarations_metrics.csv",9.10740740740741,"education","2020_Domestic",-0.864610045462977
2017-06-01,298,"['Declaration APPROVED by ADMINISTRATION', 'Declaration APPROVED by BUDGET OWNER', 'Declaration APPROVED by PRE_APPROVER', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Declaration REJECTED by EMPLOYEE', 'Declaration REJECTED by MISSING', 'Declaration REJECTED by PRE_APPROVER', 'Declaration REJECTED by SUPERVISOR', 'Declaration SAVED by EMPLOYEE', 'Declaration SUBMITTED by EMPLOYEE', 'Payment Handled', 'Request Payment']",12,0,0,0,43,0.144295302013423,0,2,1.97651006711409,2,291,0.976510067114094,1,145.5,145.5,128.92781881335,0.584963129315325,2240.71711100413,0.225701011865799,642.602655304199,0.0647275235314341,1105.83431261502,0.11138752057875,7788.23884075026,0.784486974449945,7788.23884075026,0.784486974449945,2163.80668983824,0.217954045595529,3795.77995645871,0.38233803490202,769016,1729176.20469799,772026,0,0,NA,1.21422875972823,1374,298,12,4.46644295302013,17446.2027027027,0.875,0.641115451899467,1,4.61073825503356,10,0.0536912751677852,0.561094311193045,296,84,"2020_DomesticDeclarations_metrics.csv",8.90064814814815,"education","2020_Domestic",-0.86576466131225
2017-07-01,223,"['Declaration APPROVED by ADMINISTRATION', 'Declaration APPROVED by BUDGET OWNER', 'Declaration APPROVED by PRE_APPROVER', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Declaration REJECTED by ADMINISTRATION', 'Declaration REJECTED by EMPLOYEE', 'Declaration REJECTED by MISSING', 'Declaration REJECTED by PRE_APPROVER', 'Declaration REJECTED by SUPERVISOR', 'Declaration SAVED by EMPLOYEE', 'Declaration SUBMITTED by EMPLOYEE', 'Payment Handled', 'Request Payment']",13,0,0,0,49,0.219730941704036,0,2,1.97309417040359,2,217,0.973094170403588,1,108.5,108.5,126.914490995354,0.563014208562659,1703.4941609064,0.235006841847711,608.962228531258,0.0840098507032911,903.832805227426,0.124688946982851,5600.12991902991,0.772570212690273,5600.12991902991,0.772570212690273,1906.8070775022,0.263055030994778,2908.04764433657,0.401181940344652,867009,2234643.61434978,867009,0,0,NA,1.36895365342622,1043,223,13,4.45739910313901,24336.1171171171,0.887573964497041,0.652216781364763,1,4.67713004484305,11,0.0582959641255605,0.563231912853111,243,79,"2020_DomesticDeclarations_metrics.csv",10.0348263888889,"education","2020_Domestic",-0.859431014261324
2017-08-01,143,"['Declaration APPROVED by ADMINISTRATION', 'Declaration APPROVED by BUDGET OWNER', 'Declaration APPROVED by PRE_APPROVER', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Declaration REJECTED by ADMINISTRATION', 'Declaration REJECTED by EMPLOYEE', 'Declaration REJECTED by MISSING', 'Declaration REJECTED by PRE_APPROVER', 'Declaration REJECTED by SUPERVISOR', 'Declaration SUBMITTED by EMPLOYEE', 'Payment Handled', 'Request Payment']",12,0,0,0,57,0.398601398601399,0,2,1.94405594405594,2,135,0.944055944055944,1,67.5,67.5,161.160625701927,0.572070943324153,1114.24208277994,0.244995051312465,455.562443200183,0.100167231046778,623.159712223008,0.1370178420214,3412.18558294178,0.75025759204392,3412.18558294178,0.75025759204392,1318.56528055922,0.289920811250892,1856.55330209263,0.408211445735122,963865,3038068,963865,0,0,NA,1.52188329435987,695,143,12,4.46153846153846,27963.2167832168,0.868055555555556,0.627976505475767,3,4.86013986013986,13,0.0909090909090909,0.579686719793238,178,101,"2020_DomesticDeclarations_metrics.csv",11.1558449074074,"education","2020_Domestic",-0.853170855691176
2017-09-01,268,"['Declaration APPROVED by ADMINISTRATION', 'Declaration APPROVED by BUDGET OWNER', 'Declaration APPROVED by PRE_APPROVER', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Declaration REJECTED by ADMINISTRATION', 'Declaration REJECTED by EMPLOYEE', 'Declaration REJECTED by MISSING', 'Declaration REJECTED by PRE_APPROVER', 'Declaration REJECTED by SUPERVISOR', 'Declaration SAVED by EMPLOYEE', 'Declaration SUBMITTED by EMPLOYEE', 'Payment Handled', 'Request Payment']",13,0,0,0,52,0.194029850746269,0,2,1.95522388059702,2,257,0.958955223880597,1,128.5,128.5,167.941973503935,0.574841856798326,1881.69733977059,0.222434244164313,851.457204258621,0.100650213859906,1094.2279079297,0.129347984130919,6630.45279134021,0.783781601821644,6630.45279134021,0.783781601821644,2931.4375982164,0.346523371581962,3804.99951395897,0.449786569308871,550616.5,1813583.82089552,551365,0,0,NA,0.869389440376924,1194,268,13,4.26119402985075,23476.3169811321,0.881656804733728,0.694207369794323,1,4.45522388059702,13,0.0634328358208955,0.539173926967004,256,106,"2020_DomesticDeclarations_metrics.csv",6.37287615740741,"education","2020_Domestic",-0.879880622136989
2017-10-01,296,"['Declaration APPROVED by ADMINISTRATION', 'Declaration APPROVED by BUDGET OWNER', 'Declaration APPROVED by PRE_APPROVER', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Declaration FOR_APPROVAL by PRE_APPROVER', 'Declaration REJECTED by ADMINISTRATION', 'Declaration REJECTED by EMPLOYEE', 'Declaration REJECTED by MISSING', 'Declaration REJECTED by PRE_APPROVER', 'Declaration REJECTED by SUPERVISOR', 'Declaration SAVED by EMPLOYEE', 'Declaration SUBMITTED by EMPLOYEE', 'Payment Handled', 'Request Payment']",14,0,0,0,46,0.155405405405405,0,2,1.95945945945946,2,286,0.966216216216216,1,143,143,162.860235848963,0.600217930917245,1772.43854442324,0.178384850524554,905.074697775852,0.091090105879433,1090.98340283336,0.109800653936087,7771.62367201775,0.782165300697121,7771.62367201775,0.782165300697121,3855.6910442532,0.388051181104155,4704.49216914178,0.473477703938883,615124.5,1664263.53378378,615727,0,0,NA,0.971243587537125,1375,296,14,4.48986486486486,13822.1408934708,0.887755102040816,0.598915766564072,1,4.64527027027027,11,0.054054054054054,0.571995312488596,302,95,"2020_DomesticDeclarations_metrics.csv",7.11949652777778,"education","2020_Domestic",-0.875711233466767
