Date,Cases,Distinct activities,Number of distinct activities,Number of simple cycles in period,Average number of simple cycles per trace,Median number of simple cycles per trace,Number of activity repetitions in period,Average number of activity repetitions per trace,Median number of activity repetitions per trace,Number of participants in period,Average number of participants per trace,Median number of participants per trace,Handover of work in period,Average handover of work per trace,Median handover of work per trace,Average handover of work from participant,Median handover of work from participant,Simple Variant Entropy,Simple Normalized Variant Entropy,Simple Sequence Entropy,Simple Normalized Sequence Entropy,Simple Sequence Entropy (linear forgetting),Simple Normalized Sequence Entropy (linear forgetting),"Simple Sequence Entropy (exponential forgetting, k1)","Simple Normalized Sequence Entropy (exponential forgetting, k1)",Enriched Variant Entropy,Enriched Normalized Variant Entropy,Enriched Sequence Entropy,Enriched Normalized Sequence Entropy,Enriched Sequence Entropy (linear forgetting),Enriched Normalized Sequence Entropy (linear forgetting),"Enriched Sequence Entropy (exponential forgetting, k1)","Enriched Normalized Sequence Entropy (exponential forgetting, k1)",Median throughput time,Average throughput time,PM4Py median throughput time,Median cycle time,Average cycle time,Ratio to shortest,Ratio to median,Magnitude,Support,Variety,Level of detail,Time granularity,Structure,Affinity,Minimum trace length,Average trace length,Maximum trace length,Distinct traces,Deviation from random,Lempel-Ziv,Pentland task complexity,File
2017-01-01,122,"['Declaration APPROVED by PRE_APPROVER', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Declaration REJECTED by EMPLOYEE', 'Declaration REJECTED by MISSING', 'Declaration REJECTED by PRE_APPROVER', 'Declaration REJECTED by SUPERVISOR', 'Declaration SAVED by EMPLOYEE', 'Declaration SUBMITTED by EMPLOYEE', 'Payment Handled', 'Request Payment']",10,0,0.0,0.0,31,0.2540983606557377,0.0,2.0,1.942622950819672,2.0,115.0,0.9426229508196722,1.0,57.5,57.5,116.08215956685692,0.5649738111424351,638.5077553066872,0.1832118706535291,72.07125051210777,0.0206799502698602,268.6764764729612,0.0770933781870301,2621.335605851105,0.7521596973054859,2621.335605851105,0.7521596973054859,231.3972601887513,0.06639657005093,1063.5371220210195,0.3051687689233318,572551.5,920349.024590164,596168.0,0.0,0.0,,0.9040234503905504,552,122,10,4.270491803278689,11497.394957983191,0.88,0.6769641271131582,1,4.524590163934426,12,0.0983606557377049,0.5520674256873697,144,74,2020_DomesticDeclarations_metrics.csv
2017-02-01,217,"['Declaration APPROVED by ADMINISTRATION', 'Declaration APPROVED by BUDGET OWNER', 'Declaration APPROVED by PRE_APPROVER', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Declaration REJECTED by EMPLOYEE', 'Declaration REJECTED by MISSING', 'Declaration REJECTED by PRE_APPROVER', 'Declaration REJECTED by SUPERVISOR', 'Declaration SUBMITTED by EMPLOYEE', 'Payment Handled', 'Request Payment']",11,0,0.0,0.0,34,0.1566820276497695,0.0,2.0,1.9815668202764976,2.0,213.0,0.9815668202764976,1.0,106.5,106.5,137.8792800262952,0.5612590649163829,1429.955270412628,0.2113574228101944,169.90784692026648,0.0251135720000066,603.8110747956215,0.089247513732531,5250.751166415795,0.7760978663556554,5250.751166415795,0.7760978663556554,525.091942980385,0.0776122736865096,2148.059317606564,0.3174982398447607,638583.0,1192378.1658986176,638583.0,0.0,0.0,,1.00828310993989,982,217,11,4.368663594470046,8340.465437788018,0.859504132231405,0.7188207194703607,3,4.525345622119816,12,0.0599078341013824,0.5442303561875989,209,89,2020_DomesticDeclarations_metrics.csv
2017-03-01,253,"['Declaration APPROVED by ADMINISTRATION', 'Declaration APPROVED by BUDGET OWNER', 'Declaration APPROVED by PRE_APPROVER', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Declaration REJECTED by EMPLOYEE', 'Declaration REJECTED by MISSING', 'Declaration REJECTED by PRE_APPROVER', 'Declaration REJECTED by SUPERVISOR', 'Declaration SAVED by EMPLOYEE', 'Declaration SUBMITTED by EMPLOYEE', 'Payment Handled', 'Request Payment']",12,0,0.0,0.0,37,0.1462450592885375,0.0,2.0,1.9881422924901184,2.0,250.0,0.9881422924901184,1.0,125.0,125.0,122.82980305465333,0.5702268938510103,1564.2052759674666,0.1877726799139347,294.2454858163762,0.0353222587042775,702.0104747877815,0.0842717961662834,6477.99330073694,0.7776410048173181,6477.99330073694,0.7776410048173181,1125.492711603802,0.1351080871087937,2846.9460472494347,0.3417573748635843,606969.0,1094816.956521739,606969.0,0.0,0.0,,0.9583665568251972,1178,253,12,4.509881422924901,8043.76,0.8958333333333334,0.6508562588013936,1,4.656126482213439,11,0.0434782608695652,0.5619111033810595,253,80,2020_DomesticDeclarations_metrics.csv
2017-04-01,222,"['Declaration APPROVED by ADMINISTRATION', 'Declaration APPROVED by BUDGET OWNER', 'Declaration APPROVED by PRE_APPROVER', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Declaration FOR_APPROVAL by SUPERVISOR', 'Declaration REJECTED by EMPLOYEE', 'Declaration REJECTED by MISSING', 'Declaration REJECTED by PRE_APPROVER', 'Declaration REJECTED by SUPERVISOR', 'Declaration SAVED by EMPLOYEE', 'Declaration SUBMITTED by EMPLOYEE', 'Payment Handled', 'Request Payment']",13,0,0.0,0.0,41,0.1846846846846846,0.0,2.0,1.9684684684684688,2.0,215.0,0.9684684684684683,1.0,107.5,107.5,185.10791292282607,0.5910147547929145,1331.4700458574202,0.1882192621711924,309.5747424306375,0.043762103239513,624.4624559971016,0.088275258678986,5472.377594926208,0.7735862150589254,5472.377594926208,0.7735862150589254,1166.6415670868887,0.1649187795538676,2500.6746508579645,0.3535003578781917,694697.0,1137292.2432432433,697194.0,0.0,0.0,,1.096883649620976,1021,222,13,4.414414414414415,10600.826484018266,0.893491124260355,0.6535261336166317,1,4.599099099099099,13,0.072072072072072,0.5601654912290248,227,109,2020_DomesticDeclarations_metrics.csv
2017-05-01,275,"['Declaration APPROVED by ADMINISTRATION', 'Declaration APPROVED by BUDGET OWNER', 'Declaration APPROVED by PRE_APPROVER', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Declaration REJECTED by EMPLOYEE', 'Declaration REJECTED by MISSING', 'Declaration REJECTED by PRE_APPROVER', 'Declaration REJECTED by SUPERVISOR', 'Declaration SAVED by EMPLOYEE', 'Declaration SUBMITTED by EMPLOYEE', 'Payment Handled', 'Request Payment']",12,0,0.0,0.0,55,0.2,0.0,2.0,1.9563636363636363,2.0,263.0,0.9563636363636364,1.0,131.5,131.5,167.86022631440756,0.5850286129089389,1970.995825455855,0.2161856550657014,597.6702465562074,0.0655545446095247,989.1091585897624,0.1084889214982265,7103.391982617507,0.7791246582652954,7103.391982617507,0.7791246582652954,2075.8230752506643,0.2276834712319966,3514.8684736771424,0.385522959327391,786880.0,1354259.4254545455,786880.0,0.0,0.0,,1.242434912218929,1275,275,12,4.4363636363636365,8213.085501858735,0.8819444444444444,0.6145136352256456,1,4.636363636363637,13,0.069090909090909,0.572435320032681,281,106,2020_DomesticDeclarations_metrics.csv
2017-06-01,298,"['Declaration APPROVED by ADMINISTRATION', 'Declaration APPROVED by BUDGET OWNER', 'Declaration APPROVED by PRE_APPROVER', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Declaration REJECTED by EMPLOYEE', 'Declaration REJECTED by MISSING', 'Declaration REJECTED by PRE_APPROVER', 'Declaration REJECTED by SUPERVISOR', 'Declaration SAVED by EMPLOYEE', 'Declaration SUBMITTED by EMPLOYEE', 'Payment Handled', 'Request Payment']",12,0,0.0,0.0,43,0.1442953020134228,0.0,2.0,1.976510067114094,2.0,291.0,0.976510067114094,1.0,145.5,145.5,128.9278188133504,0.5849631293153248,2240.717111004127,0.2257010118657988,642.6026553041986,0.0647275235314341,1105.8343126150214,0.1113875205787504,7788.238840750256,0.784486974449945,7788.238840750256,0.784486974449945,2163.806689838238,0.2179540455955288,3795.779956458715,0.3823380349020203,769016.0,1729176.2046979866,772026.0,0.0,0.0,,1.214228759728233,1374,298,12,4.466442953020135,17446.202702702703,0.875,0.6411154518994667,1,4.610738255033557,10,0.0536912751677852,0.5610943111930449,296,84,2020_DomesticDeclarations_metrics.csv
2017-07-01,223,"['Declaration APPROVED by ADMINISTRATION', 'Declaration APPROVED by BUDGET OWNER', 'Declaration APPROVED by PRE_APPROVER', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Declaration REJECTED by ADMINISTRATION', 'Declaration REJECTED by EMPLOYEE', 'Declaration REJECTED by MISSING', 'Declaration REJECTED by PRE_APPROVER', 'Declaration REJECTED by SUPERVISOR', 'Declaration SAVED by EMPLOYEE', 'Declaration SUBMITTED by EMPLOYEE', 'Payment Handled', 'Request Payment']",13,0,0.0,0.0,49,0.2197309417040358,0.0,2.0,1.9730941704035876,2.0,217.0,0.9730941704035876,1.0,108.5,108.5,126.91449099535429,0.5630142085626592,1703.4941609063976,0.2350068418477106,608.9622285312577,0.0840098507032911,903.8328052274256,0.1246889469828511,5600.12991902991,0.7725702126902735,5600.12991902991,0.7725702126902735,1906.8070775022024,0.2630550309947777,2908.047644336574,0.4011819403446516,867009.0,2234643.614349776,867009.0,0.0,0.0,,1.368953653426217,1043,223,13,4.457399103139013,24336.117117117115,0.8875739644970414,0.6522167813647635,1,4.677130044843049,11,0.0582959641255605,0.5632319128531108,243,79,2020_DomesticDeclarations_metrics.csv
2017-08-01,143,"['Declaration APPROVED by ADMINISTRATION', 'Declaration APPROVED by BUDGET OWNER', 'Declaration APPROVED by PRE_APPROVER', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Declaration REJECTED by ADMINISTRATION', 'Declaration REJECTED by EMPLOYEE', 'Declaration REJECTED by MISSING', 'Declaration REJECTED by PRE_APPROVER', 'Declaration REJECTED by SUPERVISOR', 'Declaration SUBMITTED by EMPLOYEE', 'Payment Handled', 'Request Payment']",12,0,0.0,0.0,57,0.3986013986013986,0.0,2.0,1.944055944055944,2.0,135.0,0.944055944055944,1.0,67.5,67.5,161.1606257019273,0.5720709433241531,1114.242082779936,0.2449950513124655,455.56244320018334,0.100167231046778,623.1597122230085,0.1370178420214002,3412.185582941782,0.75025759204392,3412.185582941782,0.75025759204392,1318.5652805592242,0.289920811250892,1856.5533020926296,0.4082114457351219,963865.0,3038068.0,963865.0,0.0,0.0,,1.5218832943598748,695,143,12,4.461538461538462,27963.216783216783,0.8680555555555556,0.6279765054757672,3,4.86013986013986,13,0.0909090909090909,0.5796867197932376,178,101,2020_DomesticDeclarations_metrics.csv
2017-09-01,268,"['Declaration APPROVED by ADMINISTRATION', 'Declaration APPROVED by BUDGET OWNER', 'Declaration APPROVED by PRE_APPROVER', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Declaration REJECTED by ADMINISTRATION', 'Declaration REJECTED by EMPLOYEE', 'Declaration REJECTED by MISSING', 'Declaration REJECTED by PRE_APPROVER', 'Declaration REJECTED by SUPERVISOR', 'Declaration SAVED by EMPLOYEE', 'Declaration SUBMITTED by EMPLOYEE', 'Payment Handled', 'Request Payment']",13,0,0.0,0.0,52,0.1940298507462686,0.0,2.0,1.955223880597015,2.0,257.0,0.9589552238805972,1.0,128.5,128.5,167.94197350393466,0.5748418567983263,1881.697339770593,0.2224342441643133,851.4572042586213,0.1006502138599056,1094.2279079296964,0.1293479841309193,6630.4527913402135,0.7837816018216438,6630.4527913402135,0.7837816018216438,2931.4375982164024,0.3465233715819623,3804.999513958973,0.4497865693088707,550616.5,1813583.8208955224,551365.0,0.0,0.0,,0.8693894403769241,1194,268,13,4.2611940298507465,23476.31698113208,0.8816568047337279,0.6942073697943226,1,4.455223880597015,13,0.0634328358208955,0.5391739269670036,256,106,2020_DomesticDeclarations_metrics.csv
2017-10-01,296,"['Declaration APPROVED by ADMINISTRATION', 'Declaration APPROVED by BUDGET OWNER', 'Declaration APPROVED by PRE_APPROVER', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Declaration FOR_APPROVAL by PRE_APPROVER', 'Declaration REJECTED by ADMINISTRATION', 'Declaration REJECTED by EMPLOYEE', 'Declaration REJECTED by MISSING', 'Declaration REJECTED by PRE_APPROVER', 'Declaration REJECTED by SUPERVISOR', 'Declaration SAVED by EMPLOYEE', 'Declaration SUBMITTED by EMPLOYEE', 'Payment Handled', 'Request Payment']",14,0,0.0,0.0,46,0.1554054054054054,0.0,2.0,1.9594594594594597,2.0,286.0,0.9662162162162162,1.0,143.0,143.0,162.860235848963,0.6002179309172448,1772.4385444232444,0.1783848505245543,905.0746977758522,0.091090105879433,1090.9834028333585,0.1098006539360869,7771.623672017753,0.7821653006971213,7771.623672017753,0.7821653006971213,3855.6910442531994,0.3880511811041552,4704.492169141783,0.4734777039388828,615124.5,1664263.5337837837,615727.0,0.0,0.0,,0.9712435875371248,1375,296,14,4.489864864864865,13822.14089347079,0.8877551020408163,0.5989157665640719,1,4.64527027027027,11,0.054054054054054,0.5719953124885961,302,95,2020_DomesticDeclarations_metrics.csv
